"time","Spot_Price","Solar_photovoltaic","Combined_cycle","Other_renewables","input_baleares","Cogeneration","Steam_turbine"
2014-07-01,45.4,29.101982,49.225548,9.593882,4851.576,71.010949,6.09181
2014-07-02,51.1,24.925007,72.046229,10.984199,4611.081,71.624981,5.714982
2014-07-03,45.4,23.154878,72.052611,11.04794,4831.403,71.24843,6.056715
2014-07-04,58.23,32.547958,66.94447,10.990879,4548.527,73.435042,6.159834
2014-07-05,51.25,32.422963,46.167742,11.474721,4694.63,62.995234,5.766293
2014-07-06,38.4,24.378461,52.620928,11.842924,3949.907,57.929387,4.707618
2014-07-07,42.22,30.635479,63.106946,11.518567,4866.436,69.929105,5.964414
2014-07-08,45.4,32.967602,70.600426,11.837502,5044.637,72.133657,5.925027
2014-07-09,34.1,32.318735,48.638498,11.725179,4981.608,69.332244,5.814552
2014-07-10,30.2,32.984017,54.628549,11.267551,4747.075,69.020744,6.594062
2014-07-11,36,33.266236,66.437249,10.874537,4904.841,71.246673,6.481462
2014-07-12,50.69,33.108746,48.399882,11.000901,4577.472,64.735051,5.723553
2014-07-13,53.19,32.627442,57.931944,10.679744,3653.165,62.748462,4.856466
2014-07-14,54.61,32.718235,88.346599,10.687892,4964.112,71.287917,6.162395
2014-07-15,54.87,32.55269,99.391275,10.561696,3685.306,73.893441,6.242137
2014-07-16,54.87,32.193149,87.939827,10.423127,4997.592,72.833723,6.470027
2014-07-17,54,31.615537,77.949309,10.291792,4933.008,72.635375,6.243593
2014-07-18,59.12,27.61514,79.026241,11.08788,5261.501,73.785549,6.120954
2014-07-19,45.42,22.442523,45.864763,11.234206,5198.428,62.611049,5.542819
2014-07-20,41.5,30.798727,45.876122,10.839679,5248.714,58.380223,4.495216
2014-07-21,57.91,33.590719,79.897806,10.804586,5628.398,69.979789,5.922785
2014-07-22,46.54,33.373958,88.789449,10.061401,5465.751,72.226759,6.222673
2014-07-23,56,32.864267,96.805004,10.242471,5388.897,72.618633,6.501066
2014-07-24,55.96,30.968091,92.961185,10.321238,5518.498,70.933209,6.224446
2014-07-25,45.4,30.229771,84.379714,10.138049,5557.032,69.770137,6.407569
2014-07-26,45.4,31.622001,56.014246,9.947668,5446.699,61.722393,5.768238
2014-07-27,47.69,31.462997,49.855469,10.852145,4881.687,58.094797,4.911532
2014-07-28,41.47,29.415128,70.176485,11.319978,5438.318,66.533378,5.854933
2014-07-29,35.5,30.574418,55.210445,11.633287,5441.429,67.499545,6.108057
2014-07-30,39.44,31.758246,69.593745,11.359394,4839.048,68.387116,6.23241
2014-07-31,55.96,31.342689,88.341627,11.569067,5035.392,68.765265,6.016725
2014-08-01,55.96,27.768663,72.487141,11.439836,5428.037,68.356148,6.023613
2014-08-02,45.4,27.895908,50.518907,11.558091,5202.705,61.904235,5.339291
2014-08-03,55.97,30.142073,61.767507,11.492853,5044.723,56.998846,4.584156
2014-08-04,52.79,30.938061,86.470795,11.918387,5608.182,64.043585,6.075611
2014-08-05,44.95,31.513135,91.950296,11.762977,5582.605,66.071475,5.87908
2014-08-06,45.4,31.620526,96.613033,11.640462,5800.249,66.022314,5.773097
2014-08-07,44.95,31.26311,98.756675,11.347957,5731.819,66.363985,5.909688
2014-08-08,47.3,30.286061,92.748482,11.295267,5812.733,66.894751,6.164343
2014-08-09,54.87,28.693955,79.135056,11.408861,5860.382,61.894009,5.572323
2014-08-10,44.58,31.516347,66.340699,11.513729,5565.629,58.744218,4.643996
2014-08-11,46.78,30.957997,89.54654,10.728056,5907.816,64.969662,6.258246
2014-08-12,44.95,29.353994,86.053612,11.113617,6156.432,65.301952,6.388051
2014-08-13,45,30.862281,74.40266,10.86121,5917.061,64.182132,6.312943
2014-08-14,44.69,30.219089,87.946365,10.540808,5822.496,67.214434,6.179273
2014-08-15,44.83,30.27774,62.16917,10.792723,5253.984,60.341495,4.772796
2014-08-16,44.27,28.992386,60.782597,11.001656,5078.246,57.52573,5.296589
2014-08-17,40.69,30.441497,69.232724,10.955115,4424.544,56.786966,4.582026
2014-08-18,46.78,25.558948,83.295455,11.381725,4989.081,64.965023,6.053075
2014-08-19,49.62,29.982313,88.891424,11.835471,5259.168,68.233457,6.108083
2014-08-20,53.8,29.47092,82.395095,11.881471,5145.812,68.963002,6.388607
2014-08-21,52.8,29.345859,90.285709,11.907259,5216.011,68.066038,6.447904
2014-08-22,49.66,25.770786,84.598394,11.699417,5329.713,67.526125,6.270284
2014-08-23,44.95,30.307095,69.3695,11.542704,4790.06,60.712806,5.341627
2014-08-24,46.1,30.106763,66.123602,11.054321,3894.437,59.587778,4.355716
2014-08-25,56.12,30.665517,78.390463,10.835593,5082.264,65.875049,6.104816
2014-08-26,44.58,30.114983,67.408176,10.326136,5281.156,65.478785,6.44343
2014-08-27,50.24,29.958338,95.463595,10.398902,5219.943,67.27698,6.539258
2014-08-28,57.76,29.430078,106.264954,11.423858,5264.222,67.729265,6.803555
2014-08-29,56.12,26.978308,106.968391,11.702057,5574.96,67.012418,6.617795
2014-08-30,50,25.21397,80.165071,11.502344,4961.606,60.882328,5.711639
